,all_full
23,"here's a completely fake summary i wrote while feeling coy: i like nature. you know like plants, sticks, stuff like that. if i like a girl, i'll do special things for her. like, i might wear a do-rag or maybe spray paint her car, little things. if i'm really crushin' on a girl, i'll light some incense, put on my fancy robe, and sing her kid rock songs while i cook us some hamburger helper.  ok, for real now: i'm a bit clumsy, but i'm an expert at silly dancing. i grew up in a ghost town and i like living simply. i enjoy subtlety, creativity, nostalgia, and quaint old-fashioned things. i make mistakes, but i always try to do the right thing. i am not a rich man, but i've got a heart of gold.  i am honest, good-natured, and the bee's knees
i'm an english tutor and i love my job.
i've made some really great art, music, and films, but i've also made a great deal of stuff that fits nicely into the garbage.
scandinavian blond hair. i mean, that's what *you* noticed, right? :)
books: oscar wilde, michael j nelson, and sir arthur conan doyle.  movies: blade runner, a clockwork orange, the shining + schindler's list. i love classic movies. fav. genre: giallo.  music: red house painters/sun kil moon, goblin, ariel pink, chromatics, joy division & unwound. i collect vinyl. fav. label: italians do it better.  food: i'm vegan, but i'm not a weirdo about it.  other stuff: nostalgia, animals, the twilight zone, twin peaks, mst3k, nes, avgn, tv carnage, tim and eric, william shatner, larry david, ricky gervais, nature, parks, and groucho marx.
minimalism
i have an eccentric, overactive imagination; i never get bored.
i'm an idler. i enjoy simple activities like a walk in the park, a bike ride, a dinner with a friend, or a movie at home. none of this bar hopping nonsense for me.
whenever i hear the song ""rebel yell"", i transform into billy idol. i've done this several times. it's beyond my control.
you're nice, you've got integrity, and you can laugh at yourself. i promise to bring the same."
25,"hey to all, hope all is well and your having a great summer! i've been in denver and won't be back till the 12th or so. talk to you then.  i am currently work as a graphic designer focused on marketing and advertising. i graduated from the university of colorado at boulder class of '07. i am humble, energetic, willing, optimistic, honest and have a lot of gratitude. i live for today and in the moment and that is important to me. i believe in succcess without stepping on toes. i am positive and strive to be the best i can be.positivity and humor are key for me...laughter is my specialty.  i am looking to meet new friends and possibly something more. i have no expectations, but keep my eyes open for that special girl to see where it goes.  i consider myself to be a gentleman, but a child at heart with a lot of energy! i don't mean in an immature way, just a lot of fun and down to do anything. i was raised in a good family. i have been lucky enough to travel around the world and plan on keeping that up.  i enjoy japanese culture, oahu's beautiful oceans (north shore- waimea bay, pipeline, kailua, makapu, sandy's), music!!!, having my dog by my side, staying in and watching movies, dating sweethearts, my ipad and iphone, dining, traveling, snowboarding, fly fishing, camping, watching pro sports, aimlessly running around the city, watching movies in bed, taking you to the driving range, surfing with my older brother, cycling, going to shows in the city and going out with friends.
always with my dog or spending time with family or out with friends.   i do freelance graphic design and work as a veterinary technician/assistant.   i often take quick trips back and forth from ca to honolulu, hawaii to see my family and to relax. i always get a lot from every trip to the islands. i am spiritually grounded when i am there.   keeping things simple.
""living for today, in the moment""   socializing and killin' those awkward silences, by not being judgemental. i naturally relate to a wide wide range of people no matter who you are or what type of background you come from. can relate to more people than most. i have been through so much in my life and feel everyone deserves to express who they are, even if it's not on the first try.  when in a relationship and/or not:   hygiene (very important vice-a-versa)  if my girl is happy, then i'm happy.  honesty and trust  making decisions  always available 24/7  dress well  badboy syndrome with good qualities  keeping the honeymoon stage going.  competitive sports etc. (things i can teach or we can do together)   junior national us water polo team and played varsity polo all 4 years in hs.   i have been surfing since i was 4.   traveling basketball team(metro mirage)   played club soccer (world united)   played in many golf and tennis tournaments.   on the cu snowboard team in college and still love to ride in the winters.   i play on a competitive softball team and played baseball growing up.   i cycle often and was in my first 65mile race two months after my 1st ride.   fly fishing   progressive/innovative art  **i don't think i would enjoy my hobbies if i didn't feel i could perfect them**
i am easy to talk to and am not judgmental. if your happy, then i won't think your a square if you throw in a bunch of !!!! :) ;) don't ever worry about what you wrote, how long it is or how you write it. i will break the awkward silences in person and you will feel as if we knew each other for years, no matter who you are or what you say...guaranteed.
books:  catcher in the rye  alchemist  baby boy  we all fall down  into thin air  american game  the throw  island in shine  movies/documentaries:  shawshank redemption  a beautiful mind  blood diamond  the departed  the town  grand turino  momentum  american beauty  stand by me  planes, trains and automobiles  dumb and dumber  home alone  the great outdoors  trading places  uncle buck  cool runnings  kids  major league  dog town and z-boys  riding giants  mavericks  shows:  breaking bad  sopranos  game of thrones  summer heights high  angry boys  lost: seasons 1-3  family guy  entourage  o.z.  curb your enthusiasm  seinfeld  eastbound and down  the wire  music:  70's  80's  90's  rap, hip hop and r&b  oldies  reggae  electronic  new age (most genres)
1 family 2 my lil' guy (dog) 3 friends 4 good clothes 5 iphone/ipad via design ideas etc. 6 japan and hawaii (traveling)
about the importance to live for today in the moment. i don't worry about the future and believe everything happens for a reason. cliche as hell, but i just don't stress on things and realize everything falls into place.
out with friends (sf) with my family (atherton) with my older brother at his place (sf)  staying in watching a movie with my dog (keo). he's always by my side.
i am into men's fashion, but like women...lol. i always make sure i dress well!
if you want to get to know me better."
26,"full-time student, full-time square. i change from year to year. used to love computer games, and drinking, but am finding i hate them more as time passes. don't get me wrong. i still enjoy a night out every other month and a lazy saturday with my computer now and again. my obsession of the moment include long drives at night after work and hitting the gym. on the weekends i like to sit and home and prepare for the week ahead.
i'm currently studying at ccsf. i went to babson college, in wellesley, massachusetts, in 2008 but i was both unprepared to enjoy the experience and boston was too different from home (the philippines). decided to run away to san francisco, learn what i want, and move on to a better school when i find myself ready. here i am, 70 units later, anxious to make another leap. i work for square and couldn't have found a better first job.  in the near future i'm going to be working on helping my mom start a business in the field of her choosing and try to fit a semester working/studying in japan.
school, especially when there is a bet involved. swimming, but not as good as i used to be. typing (90-100 wpm). getting lost. making a sweet breakfast. meeting new people. jedi mindtricking children. finding stuff for cheaps. making sneaky drinks. panicking near hobos. fixing stuff. putting stuff together. most importantly: travelling.
is how hard it is to pin point my ethnicity.
books - dan brown: deception point, digital fortress, etc. george r. r. martin: a song of ice and fire wheel of time predictably irrational glass castle the hunger games  favorite t.v. shows - the big bang theory how i met your mother weeds breaking bad true blood supernatural  favorite movies - fast and the furious 3 tokyo drift - i hate myself for this wall-e shawshank redemption fight club pirates of the caribbean saga forrest gump spirited away fullmetal jacket sherlock holmes lots of foreign + independent films  food - cannot get enough of thai, japanese and wings!
friends & family passport cologne good speakers/headphones internet ""mah ride""
what i will leave my children (when i do eventually have them). whether i should work harder or enjoy life. my family back in the philippines. where i should go next. how badly i want to travel. how i can make a difference, regardless of how small. whether or not i want to delve into zen buddhism. how much i love and admire the great people around me. how much longer until work is over. how much i love work. whether or not i can get away with 4-5 hours of sleep. :)
at work until 8, then hanging out with friends at my house, or enjoying some downtime with a good book or playing my piano (poorly).
sometimes, when i have absolutely nothing to do, i still try to determine whether or not i can perform telekinesis. :3
if you don't mind chatting with a closet dork and are open to one day meeting me in person (preferably over some strong, dark coffee."
28,"i moved here recently and love this place. i'm a half-urban, half-mountain guy, devoted to the walkable/bikeable/transit-rideable city, and to getting out in the wilderness to remember that it exists. i love this progressive free-thinking city, where people are active and politically active and whimsical. and where i hear people speaking a dozen languages every time i get coffee/get on bart/go anywhere.  so far, i've been a biologist, a science teacher, a traveler, an outdoor adventure guide, and a couple other things. i'll stay the teaching route for the moment while i figure out my path in to working on some kind of sustainability policy or work for ensuring accurate science education.  i laugh out loud.  i'm a balance of things: intellectual and active and creative. i'll geek out over a scientific journal, then go do some work on a sculpture or painting. days need some active time: riding bikes, walking places, helping out friends or friends-of-friends with moving or fixing things (i genuinely love this; i need something useful to do with my hands). i stay in shape and care about being fit so i can be healthy and strong enough to do the things i like to do.  i'm fun, driven, bright, grounded, comfortable with myself. i hope you are too. also, i'm grown up, you know? i'm emotionally available and mentally healthy. i don't play hot and cold games or try too hard to charm you / get obsessive / chase you when you're a little out of reach. i'll respect you as my equal. i have two little sisters so i'm well aware a lot of men play the charmer/politician act, and also keep a collection of women on strings. as i told my sobbing, heartbroken littlest sis at christmas, those dudes are what they are, and they're not gonna change. and i don't want to be them.  basically, i'm happy to be out here. it feels like there's so much to explore and i'd love to explore it with someone smart and energetic who's been here maybe over a year and can show me around. outdoorsy would be great, but it isn't a requirement for dating. be extremely passionate and driven about something you care about, that's all.
settling into a new city, figuring out how bio and sustainability and education and urbanism and sculpture and travel are all going to intersect. :-)  maybe growing a beard. profusion of lazy-stubble this week. would i turn immediately into a hipster or is that only true if the beard is ironic?
making stuff, thinking about stuff and doing stuff. laugh-milk-out-your-nose-funny banter.
depends. i've been told my eyes (isn't this the part where i'm supposed to tell you they're ""piercing"" and that's supposed to be good?)  uh... if i've just come back from a camping trip, probably they notice that i'm scruffy and covered in dirt. don't worry, i clean up nice.
books: 1491. omnivore's dilemma. the amazing adventures of kavalier and clay. the princess bride. the necessary revolution. dubliners. the phantom tollbooth. the anatomy coloring book. on the origin of species.  music: live shows! local bands to fall in love with. new stuff. old stuff. arcade fire. beatles. malajube. louis armstrong. decemberists. phoenix. spoon. bach.  food: healthy and only a little not healthy. pizza. blueberries. mexican. salvadoran. spicy asian. indian. mission tacos. i make a mean pasta sauce. and a real man can admit his addiction to milk and cookies. just sayin'.
cities mountains travel bike friends creativity
symbiosis. where to go this weekend. politics. where to travel someday. art. how to make the world better. work. what i can build out of recycled materials. power tools. the way the sky looks today. milk. why we can't get education right in this country. cookies. why animals in australia are so fascinatingly weird and whether this correlates to weirdness among australians. kissing. why we're messing up so badly on universal healthcare. news. why some people still don't realize how obvious -- and beautiful! -- evolution is. you.*  *but, you know, not in a creepy or obsessive way.
getting ready for the weekend, riding bikes, dinner party and movies with friends, out doing something fun.
i'm a sucker for pictures/youtube videos of baby animals (cute overload ftw). i'm even worse than my six year old niece. i blame her total lack of attention span.
you're bright, funny, creative and interesting, driven, passionate. maybe you like to be outside and to travel. you like to laugh with and at each other. you're incredibly-awesome but real -- you don't have to pretend around me, you know? you want someone healthy and grounded, not obsessive. you're together and grounded yourself, but that doesn't mean you're never going to have a crappy day or melt down or cry all over yourself/my shirt, and that's okay and healthy. i want you to be human. cause i'm probably gonna have to be human too, and it's way more fun with company. :-)"
31,"to life, love and loot  i like smart, funny, and strong woman. i have been called picky. i think its a consequence of being honest.  i'm a boston convert. i've been in sf for 3 years and have explored as much as i can, but theres plenty of more to do.  my life plan: (1) bust my ass creating a company (2) sell it or ipo (3) take mini-retirements around the world (4) use my time exactly how i want... travel, create more companies, invest or something i haven't thought of yet
im a founding partner and product manager at a sf start-up. and i just moved into a home/office 30 seconds from the beach.  m-f: if i'm not working, i'm sleeping or out on the beach. if i have time, responding to people on okcupid  sat-sun: napa, trying out a new restaurant, beers with friends, comedy show, movie. and yeah, working
making people laugh :)  or making an ass out of myself. sometimes they're one in the same.
my eyes. they're very green.
i love tv, i love movies, and i love to read.  theres a lot of great entertainment out there if your tastes are open enough.  right now i'm reading: game of thrones  i just finished the hunger games series and the tales of lisbeth salander and mikael blomkvist. an nlp introductory  watching: alcatraz, how i met your mother, the young turks, and arrested development again  movies: last i watched: 21 jump street  favorite movies... a lot of them. limitless, there's something about mary, lucky number s7even, fight club, the social network, the hangover, crazy stupid love
1. great food 2. big dreams 3. people smarter then myself 4. the internet :) 5. beautiful women 6. sleep... a good nights sleep can be amazing (i love my new bed btw)  and 7. why 7? because i like to go one step beyond.  7. the people in my life
design, art, politics, movies, games, food!!  i have 2 dreams at night i go to...  (1) having a stopwatch that could freeze time (2) zombies ate my neighbors! how do i survive?
working with friends while having a beer trying out a new restaurant napa or sonoma at a movie drinks in the city
sometimes i'm still afraid of the dark. i've seen way too many scary movies
if you like good conversation.  it may not end in a date, but we can find something to laugh about"
33,"""apparently,"" has become a new favorite word of mine, like ""perpendicular."" it's fun to say don't you think? do you have any favorite words?  perrrr piiinnn diiic uuulaarrr  as naturally for myself, i'm laid back, ummm... witty, and uber sarcastic. i cannot really describe myself without the fear of sounding... vain. always been a happy chick and i tend to have a good time everywhere i go and i also tend to dance out of nowhere. it's my thang, ya dig? what comes after happiness? humor? sure, humor. it's a little dark, a little vulgar, and it involves making fun of myself and my friends. have you ever played ""your team?"" i appreciate everything in life. my friends, my family, my co-workers, a blanket, nature, the city. psh! even those creepy crawlies! i also say thank you a lot because i enjoy making others feel appreciated and important. it totally boosts their esteem up! it makes me happy!  i swear too much by the way. hehe.  can't think of anything else. i was born and raised in norcal??  let's be friends or whatever.
working at a doggy daycare. it's really fun and i love it! hanging out with my friends, riding my bike around town, laughing, hugging, coming home with sand in hair, laying in the grass enjoying the sunlight. & spending too much time, money and gas in the eternal land of san francisco and on concerts.  trying to become a zoologist! ! !
being a girl... cooking vegetarian cuisine and top ramen, piecing things together, being right, puzzles, being that one supportive friend, bantering with my best friend, making fun of my friends, sometimes knowing how to fix a computer, fitting in your pocket, being optimistic, taking bad pictures of you, loving everyone, not hating everyone, freaking out at cute animals like baby ducks.
people start speaking to me in spanish and i respond in english. fo' real, it's my hair then my height then my eyes then my lips on my face then my laid-back personality and positive energy.
everything, yo. i really enjoy non-fiction stuff, for example, memories & biographies. as well, fiction stuff, drama & mystery. i'm not picky. movies are tough becauuussee i don't watch them all that often. i'm serious. it takes major convincing to make me watch a movie. i pretty much like them all, even the cheesy kinds. except epic movie, that movie was fucking terrible. shows: 30 rock, any 90s cartoon & show, parks & rec but i don't watch shows all that much either. i haven't watched tv in 4 years. i have netflix though. music: obsessed with arcade fire (again), death from above, beirut, animal collective, boys noize, cocorosie, coldplay, spokane, daft punk, mstrkrft, justice, fever ray, crystal castles, fake blood, fleet foxes, friendly fires and anything 80s!  i ain't picky with food but i don't like mexican. edit on mexican: i had a freakin' lengua super taco in the mission and it was delicious. that's probably the closet thing i'll ever like about mexican food.
i can't choose. please don't let me choose... fine  my best friends, education, acai juice, watching my dog sleep, san francisco, my guilt for deep fried food.  sandwiches.
what daydreamers only think about.  moving to sf or portland. mostly portland. yeah, definitely portland.  grad school in sydney. living life in toronto then returning back to california and live in sf forever and having my best friend be my neighbor.
it varies! i work on my friday nights but if there is something going then most likely i will suck it up and go to that event. i really love going to off the grid and stuff my face while drinking a good beer. raving clubbing  cuddling with my puppy  or just chilling out, watching a show or movie with my best friend.
i turn 21 on july 1st. give me money and gifts. (jaykay)  i have a whip in my car.  i saw 2 of my former high school teachers on this site once. it was awkward.
you wanna get guatemalan food with me in the mission.  you like super tacos  you wanna be friends. you wanna make out. you wanna dance with me. you wanna have adventures. you wanna day drink. you wanna rave. you wanna laugh.  you wanna do whatever is fun.  you think i'm pretty? i hope you don't find me intimidating because i'm really not."
37,"let's go to a festival and dance all night... running and dancing with the stars. we will not rest until our naked bodies have melted away and the awesome beauty of life, death, and the universe becomes so clear. after which we will finish that bottle of jameson and hold each other close, laughing at our friends and welcoming the sunrise. a new day of adventure awaits.  i am looking for many things: friendships, drinking/hiking/sports buddies, love interests, adventure partners, business opportunities... you name it. i am a social animal and appreciate human interaction, so i am always interested in meeting new people regardless of ""who"" or ""what"" they are. in practice, and in mannerisms, i seem like quite the ""typical"" guy: i love to drink beer, play sports, i listen to reggae, dubstep and hip-hop, and enjoy a beach full of bikini-clad women as much as anyone. however, yes, i can also be a bisexual, swinging, polyamorous, and debaucherous individual. but that is just a part of me, and all that really means anyway is i'm open minded. i have always fully imagined marrying and having kids one day, but i'm open to whatever life may bring. while i am secretly and totally a hopeless romantic, i am not trying to rush in to things or grow up too fast. i strive in my daily life to be relaxed and down-to-earth, but still adventurous... i try not to take the day-to-day of life too seriously. :-)  a note on ""bisexuality"": for you hetero-normative folk: do not be afraid of the term ""bisexual"". it is just a term, and a very limiting one at that. i am just as heterosexual as a ""straight man"". i am just as homosexual as a ""gay"" man. and just because i may be bisexual and perhaps polyamorous, does not mean that i am unable to be in a happy, committed, and fulfilling relationship with a single partner. in fact, such an arrangement has been my norm.
i am living. bartending, schooling, rocking out to my radio... seeking new adventures and opportunities around every corner!
... taking the experience of getting lost and transforming it in to a beautifully drunken day of adventure.
... is that i am laughing... because life is ridiculous.
humph. where to begin? i like comedies that make me laugh and dramas that make me feel. i like books that make me think and music that makes me want to walk-down-to... electric avenue!  i don't watch tv really ever, but i grudginly admit there a couple shows out there that are pretty entertaining.  and food? i love food. i'll eat almost anything that's not seafood (i know, how tragic)  question: do people really read this section? i can't imagine judging someone based on a list of books and movies...
love friendship music burning man passion hot and sour soup
how to make the world a better place. and that usually starts with how do i develop in to a better person.  i also tend to get songs stuck in my head way too often. :-)
there is no typical friday: i could be at an outdoor festival in golden gate park, dancing my ass off to pretty lights, or i could be watching a movie at home with the roomies. sometimes i like to go out to shows, clubs, and bars. other times i like to kick it at home with close friends, chilling hard, talking, drinking, plotting, and dreaming.
i am hesitantly giving this whole online dating thing a try.
if you want to go to a festival and dance all night... running and dancing with the stars. we will not rest until our naked bodies have melted away and the awesome beauty of life, death, and the universe becomes so clear. after which we will finish that bottle of jameson and hold each other close, laughing at our friends and welcoming the sunrise. a new day of adventure awaits."
38,"why, hello there.  i'm entertaining the thought that i could come across someone just as equally rad, bodacious and fun who blows my mind and our exchange develops into something too good for words. i'm a riot with a good heart.  oakland made me, the east bay raised me, lived in vegas, the silicon valley catapulted my career, and now i am planting seeds in sf near(ish) my home in walnut creek.  i've learned enough of my mother's native lingo to find my way back to the beach and enough exotic languages to fall in love. i'm visual, a soulful vocalist, a believer in exploring passions, positive action, and celebrating often. i know when to fold and when to raise. i set my own standard. i'm well-loved by my diverse family and friends. i have no enemies but time. entj. i love dancing and how sexy you look in a fedora and dark shades. i love me some super high heels just as much as my daisy dukes and rugged boots when i rough it with my dogs. i love to explore. so pack yer bags darlin, or keep one next to mine in the trunk.  i'm resilient and direct because i've been there, learned that, and i trust you have, too.  ""i, with a deeper instinct, choose a man who compels my strength, who does not doubt my courage or my toughness, who does not believe me naive or innocent, who has the courage to treat me like a woman.""  -anais nin
my own thing. business woman. family woman. musician.
fun. doing what i please, very well. compassion. cooking. stiff drinks. design. planning. relaxing. packing. communicating. presentation. intuition. being the fun auntie with nieces/nephews. entertaining dinner parties.
presence.
books: reading is sexy. yes. many. everyday.  cinema: from valentino and film noir, wes anderson & robert rodriguez to current bad ass films  tube: tcm, bourdain, it crowd, mad men  tunes: santigold, muse, black keys, sinatra, slayer, zeppelin, hendrix, crash kings, shakira, flamenco, bossa nova, temper trap, phantogram, jack johnson, phoenix, kimbra, ray lamontagne, thievery corporation, this can go on forever....  noms: yummy kinds. clean, south american, asian, mediterranean
laughter passion beauty quality over quantity charm high thread count coloring outside of the lines
tu fuego. tu beso. su encanto.
enjoying it. any day can be a friday.
i enjoy drinking brut champagne in the shower. i once caught a fly with chopsticks. my venus is in scorpio.
if there's a possibility that we can't resist each other at some point.  laughter and chemistry both rock my world. wit and charm are a part of my daily repertoire, so bring it.  ""it is a happy talent to know how to play. being able to play with those you love is possibly the sweetest gift life offers."" - ralph waldo emerson  +points if you actually read my profile."
39,"i love life!  oh. okcupid is telling me that three words isn't enough. ok then:  i just moved to the bay area in february, i don't know anyone here. this is your chance - you can pretend to be the coolest kid in town and i won't know any better but to believe you!  still not enough? fine... a more detailed description of me:  born to lead the armies of darkness to ruinous victory. gifted with a vast range of abilities for achieving that destiny. cursed by the forces of good to be crippled by ethics, honesty, and compassion. the usual story - good triumphs over evil, foiled again, blah blah blah.  i can read and write my name, and i have a job and a home and a car and my teeth and i can use an oscilloscope and i can shower myself!  you should also know that of all the people on a recently-published ""50 most loathsome people in the usa"" list, not a single one of them is me. your mom will be delighted to hear this. (though you may feel a little bit insulted by her poorly hidden relief.)
design, adventure, tools, competitive latin dance, electronics, events, going out, ballroom competitions, hiking, games, parties, diy, travel, museums, invention, making stuff!  by day, i'm a mild-mannered designer in an office. by evening, an inventor, artist, and adventurer. by night, a competition dancer and jet-setter to fun and glamour.  ""oh - you're a designer?"" you say. ""that's interesting!"" you lie. exactly! ""designer"" is a great thing to be, because you can put it on forms and stuff to answer the ""what do you do?"" question without actually answering it. ""designer"" tells you nothing. i could be working in fashion, cars, systems, furniture, ads, events, landscapes, websites, aircraft, or anything! ""ah yes, very clever, haha etc etc. so what kind of designer are you then?"" well, some of you reading this will have purchased my work. that kind of designer :-p
most things :-p
the first thing people usually comment on is my accent. i sound british to most americans, australian to some, but while these are good guesses, neither is quite correct.  someone else's summary of me: ""he is not only hot as hell, but he is the gayest straight man in the world - he has good taste, knows how to decorate, has a real sense of style"".  clearly she completely failed to notice my impressive aura of menace and seductive evil radiating across the land. actually, no-one seems to notice it. i think my aura might be broken.  a friend i met on this site just called me ""a rare gem in the wasteland of okstupid"". i hope there is a gem around here somewhere for me!
i like books & movies & music, just like you!  i'm not actually much of a believer in seeking out only people that you have lots in common with. it might be easier to go on a date if you're both always wanting to see the same movies, but i think the really great times are often the ones where you end up doing something you've never done before (and never dreamed you would), because the other person's different interests give you access to worlds that you probably wouldn't stumble into without them. through each other, you both end up more magnificent!
i have whatever is the opposite of chronic depression - i am pretty much hardwired to remain happy, regardless of what is going down. so i figure i won at least one of life's major lotteries.  on a different tack, i once lost mobility due to my leg being sliced open when i accidentally... er... i mean... in the midst of battle while i was fending off dozens of those bad guys from the lord of the rings films. yeah - dozens! anyway, i got so sick of not being able to do stuff, that i eventually ended up at a big new year's bash a few weeks later, dancing through the painkillers, doing my leg no favours, but having a blast. thus, i think dancing would probably be on the list. as to the other four things, they're classified. may i see your security clearance please? wait - you're telling me you don't have a security clearance? sir/maam, this is a restricted area. if you would like clearance, you will need to step over here for the security screening...
i like the often refreshingly blunt and uncomfortable insights about us that are laid bare by oktrends.  on the subject of oktrends, you might notice that my profile says i'm 6'2"" tall. but if we measure in okcupid inches, i'm nearly 6'4""! we know this because oktrends cleverly deduced that men here inflate their height by an average of 2"", while i happen to know that i only inflated mine by a fraction of an inch, so as to get a round number. (clearly i'm a rebel, living dangerously! or something).
once upon a time i might have been out conversing and dining with friends, but then i moved here where i don't know anyone. perhaps i'd be out dancing somewhere. perhaps at home, working on secret projects. ask me.
you wouldn't believe me anyway, so nevermind. :-p  random fact: i was bitten by a (presumably) radioactive insect, exploring the exclusion zone at chernobyl. any day now i'll discover my super-powers. any day...  another (not very) secret: i get lower auto insurance premiums than you - despite being male and having a (very) fast car. how is that fair? well, there's a trick to it... but i plan to get an electric car and build my own solar powerplant to help fuel it. (i've done a bunch of smaller solar projects. i love the permanence of it - building something that can run forever - the other parts will fail before the power source does.)
you're participating in the human trials of the oragenics bacteria(1) - i would totally snog(2) someone with that stuff in their mouth; a life of crime doesn't get much sexier than stealing the latest experimental biotech via steamy french kiss, and committing swathes of intellectual property infringements with tongues entwined.  (1) oragenics is an experimental version of the bacteria that causes tooth decay, but engineered to out-compete (and thus kill) the normal strain, while at the same time, not creating tooth decay. in theory, the new strain should stop decay for the rest of your life. (2) dated (brit) slang for... well, you can probably guess.  or if you're smarter, hotter, and nicer than me. that'll do it too.  ---  did i visit your profile more than once but not send you a message? that's because email is a pretty lousy way to try to meet someone, so i figure i'll give it a few days to see if we happen to end up online at the same time, and can thus contact you via the chat feature instead. but if you don't plan to log in much or if you prefer to disable chat, i supposed you should message me to tell me that my plan is stupid."
40,"i am new to the san francisco bay area and looking for new friends and people who would like to introduce me to their favorite places.  -inglorion- is...  - yet another friendly guy stuck in front of a computer  - ... and liking it!  seriously, i am a computer programmer (both profesionally and as a hobby), so naturally i spend quite some time at my computer. but there are so many fun things in life that this page couldn't possibly contain them all. just to name a few, i like sailing, speaking foreign languages, cycling, taking walks, parties, and hugs.  i also spend some effort trying to make the world a better place, caring for the environment, conserving energy, thinking about politics and animal rights (including human rights), and, by writing open source software that anybody is invited to use, share, and improve. more about that on my website: http://inglorion.net/  i'm always looking forward to making new friends and having fun together. if you're up for that, too, don't hesitate to send me a message!  i am humorous, considerate, and sometimes passionate  (note: i've started over answering the match questions. this will take a while.)
i write software for fun and profit. i complain about what's wrong with the world, and think about making things better.
i like to think am good at communicating, making friends, understanding people, making people feel appreciated, making them smile when they are feeling down, sharing my happiness, and physical displays of affection and love.  it hasn't always been this way, but i've worked to develop these skills, and i think it's paid off.
i wear funny t-shirts (they have funny and/or insightful quotes and/or images on them). that's what people used to notice, but i haven't heard that in a while. nowadays, people mostly notice i have a beard. maybe i should shave it so people will look at the rest of me again?  as an aside, i think this question is best written by other people. so if you have any suggestions for what this part _should_ say, please do not hesitate to tell me.
books: almost anything fantasy: the lord of the rings (tolkien); the wheel of time (sadly, robert jordan passed away before completing it), the death gate cycle (weis & hickman); memory, sorrow and thorn (tad williams); riftwar legacy (raymond e. feist), ... also the da vinci code (dan brown).   movies: avatar, dark city, the game, inception, monty python and the quest for the holy grail, memento, pay it forward, ghost in the shell, and inside man. i also like cartoons; watching them and being enchanted by them feels like being a child all over again. mostly, i like to watch movies together with other people, so if there is a movie you are really excited about, send me a message and maybe we can go see it together.   music: i like various music styles, although i have a low tolerance for the likes of rap and hip hop. i usually listen to: classical music (mozart, beethoven, charpentier); symphonic rock (or maybe goth rock) (nightwish, within temptation, evanescense); punk (satanic surfers, bad religion, hladno pivo); folk music (the dubliners, saban bajramovic); dance (milk inc), techno (basshunter) and some mixed or harder to classify styles (zdob si zdub, haggard, dropkick murphys). i also like the - funny yet insightful - songs by tom lehrer. and man should certainly be in this list!   food: i like most of the food i've tasted in my life. i also like to cook, sometimes, especially for someone special. i love asian (especially thai and chinese) food. i don't like liver, mamaliga, yoghurt, and probably a couple of other things.
happiness, fun, friends, hugs, fresh air, and the internet  i've lived extensive periods without these (sometimes lacking all of them at the same time), so, obviously, i _can_ do without them, but these things are so central to my life that missing one makes me feel incomplete.
life, the universe, and everything. me, my friends, and everyone else. programming, politics, and philosophy. the past, the present, and the future. i think (and fret) a lot. :-)  i care (and thus think) about fairness, the environment, animal rights, and programming languages.  my dream is to one day create a programming language that is suitable for interactive use and for writing large projects, and which is safer (in terms of mistakes one can make) and more flexible (or powerful) than languages in common use today. i have it all but figured out.
doing the same thing i do every night. in my case, that's not taking over the world, but trying to make my world a better place, which will hopefully improve it for other people as well. for example, i maintain a website (http://inglorion.net/) with essays about things i feel people should know, and links to pages that i feel deserve more attention.
hmm, so you want to know my little secret, ey? well, i believe that, especially in relationships, the problem is often too _little_ openness, so i am more into telling as much as possible as accurately as possible, and sooner rather than later. there are really only 2 reasons i keep secrets:  1. because they involve other people. unless i know they are ok with it, i try not to bandy about things that they would rather keep private.  2. because i want to keep it for later. for example, i am not going to tell you what is in your present until you've opened it.  as for all the weird and wonderful things i haven't told you yet...if you are interested, send me a message and start discovering! :-d
you should message me if...well, if you feel like it, really. there is no reason not to, really, unless you're really not interested in me at all. i love to get messages from people. :-d  some reasons you might want to message me (in no particular order):  - you live near me and would like to meet up. i like making new friends!  - i checked out your profile, but didn't write you a message. this probably means i intended to write to you, but lacked the time or was too tired. working full-time makes me that way. :-(  - you found something on my profile that you would like to talk about. for example, an interest we have in common, or something you agree or disagree with.  - you thought of a reason that you think should be listed here, but isn't."
